Timestamp Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions  Aircraft_num Company Status Flight_time Miles_travelled Battery_soc Charger_id Charge_time Fault_count Charge_sessions 
2000 0 ALPHA 0 0.0200 2.4000 99.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.0200 2.4000 99.0000 0 0.0000 0.0000 0 2 BETA 0 0.0208 2.0825 97.0000 0 0.0000 0.0000 0 3 BETA 0 0.0208 2.0825 97.0000 0 0.0000 0.0000 0 4 BETA 0 0.0200 1.9992 97.0000 0 0.0000 0.0000 0 5 BETA 0 0.0208 2.0825 97.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.0208 3.3325 97.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.0208 3.3325 97.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.0208 3.3325 97.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.0192 3.0659 97.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.0208 3.3325 97.0000 0 0.0000 0.0000 0 11 DELTA 0 0.0192 1.7250 99.0000 0 0.0000 0.0000 0 12 DELTA 0 0.0208 1.8750 99.0000 0 0.0000 0.0000 0 13 DELTA 0 0.0208 1.8750 99.0000 0 0.0000 0.0000 0 14 DELTA 0 0.0208 1.8750 99.0000 0 0.0000 0.0000 0 15 DELTA 0 0.0200 1.8000 99.0000 0 0.0000 0.0000 0 16 DELTA 0 0.0192 1.7250 99.0000 0 0.0000 0.0000 0 17 DELTA 0 0.0200 1.8000 99.0000 0 0.0000 0.0000 0 18 DELTA 0 0.0208 1.8750 99.0000 0 0.0000 0.0000 0 19 ECHO 0 0.0200 0.6000 98.0000 0 0.0000 0.0000 0 
4000 0 ALPHA 0 0.0475 5.7000 98.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.0516 6.2000 97.0000 0 0.0000 0.0000 0 2 BETA 0 0.0516 5.1646 93.0000 0 0.0000 0.0000 0 3 BETA 0 0.0516 5.1646 93.0000 0 0.0000 0.0000 0 4 BETA 0 0.0516 5.1646 93.0000 0 0.0000 0.0000 0 5 BETA 0 0.0508 5.0813 93.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.0516 8.2646 92.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.0516 8.2646 92.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.0516 8.2646 92.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.0500 7.9980 93.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.0500 7.9980 93.0000 0 0.0000 0.0000 0 11 DELTA 0 0.0466 4.2000 98.0000 0 0.0000 0.0000 0 12 DELTA 0 0.0483 4.3500 98.0000 0 0.0000 0.0000 0 13 DELTA 0 0.0483 4.3500 98.0000 0 0.0000 0.0000 0 14 DELTA 0 0.0483 4.3500 98.0000 0 0.0000 0.0000 0 15 DELTA 0 0.0491 4.4250 98.0000 0 0.0000 0.0000 0 16 DELTA 0 0.0491 4.4250 98.0000 0 0.0000 0.0000 0 17 DELTA 0 0.0491 4.4250 98.0000 0 0.0000 0.0000 0 18 DELTA 0 0.0475 4.2750 98.0000 0 0.0000 0.0000 0 19 ECHO 0 0.0475 1.4250 95.0000 0 0.0000 0.0000 0 
6000 0 ALPHA 0 0.0708 8.5000 96.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.0758 9.1000 96.0000 0 0.0000 0.0000 0 2 BETA 0 0.0758 7.5803 89.0000 0 0.0000 0.0000 0 3 BETA 0 0.0758 7.5803 89.0000 0 0.0000 0.0000 0 4 BETA 0 0.0758 7.5803 89.0000 0 0.0000 0.0000 0 5 BETA 0 0.0758 7.5803 89.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.0758 12.1303 88.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.0758 12.1303 88.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.0758 12.1303 88.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.0725 11.5971 89.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.0733 11.7304 89.0000 0 0.0000 0.0000 0 11 DELTA 0 0.0708 6.3750 96.0000 0 0.0000 0.0000 0 12 DELTA 0 0.0708 6.3750 96.0000 0 0.0000 0.0000 0 13 DELTA 0 0.0716 6.4500 96.0000 0 0.0000 0.0000 0 14 DELTA 0 0.0708 6.3750 96.0000 0 0.0000 0.0000 0 15 DELTA 0 0.0725 6.5250 96.0000 0 0.0000 0.0000 0 16 DELTA 0 0.0725 6.5250 96.0000 0 0.0000 0.0000 0 17 DELTA 0 0.0733 6.6000 96.0000 0 0.0000 0.0000 0 18 DELTA 0 0.0708 6.3750 96.0000 0 0.0000 0.0000 0 19 ECHO 0 0.0716 2.1500 92.0000 0 0.0000 0.0000 0 
8010 0 ALPHA 0 0.0908 10.9000 95.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.0958 11.5000 95.0000 0 0.0000 0.0000 0 2 BETA 0 0.0958 9.5795 86.0000 0 0.0000 0.0000 0 3 BETA 0 0.0958 9.5795 86.0000 0 0.0000 0.0000 0 4 BETA 0 0.0958 9.5795 86.0000 0 0.0000 0.0000 0 5 BETA 0 0.0958 9.5795 86.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.0958 15.3295 85.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.0958 15.3295 85.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.0958 15.3295 85.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.0933 14.9296 86.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.0933 14.9296 86.0000 0 0.0000 0.0000 0 11 DELTA 0 0.0908 8.1750 95.0000 0 0.0000 0.0000 0 12 DELTA 0 0.0916 8.2500 95.0000 0 0.0000 0.0000 0 13 DELTA 0 0.0925 8.3250 95.0000 0 0.0000 0.0000 0 14 DELTA 0 0.0908 8.1750 95.0000 0 0.0000 0.0000 0 15 DELTA 0 0.0933 8.4000 95.0000 0 0.0000 0.0000 0 16 DELTA 0 0.0916 8.2500 95.0000 0 0.0000 0.0000 0 17 DELTA 0 0.0925 8.3250 95.0000 0 0.0000 0.0000 0 18 DELTA 0 0.0908 8.1750 95.0000 0 0.0000 0.0000 0 19 ECHO 0 0.0916 2.7500 90.0000 0 0.0000 0.0000 0 
10013 0 ALPHA 0 0.1225 14.7000 93.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.1283 15.4000 93.0000 0 0.0000 0.0000 0 2 BETA 0 0.1291 12.9115 81.0000 0 0.0000 0.0000 0 3 BETA 0 0.1283 12.8282 81.0000 0 0.0000 0.0000 0 4 BETA 0 0.1283 12.8282 81.0000 0 0.0000 0.0000 0 5 BETA 0 0.1283 12.8282 81.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.1283 20.5282 80.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.1283 20.5282 80.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.1283 20.5282 80.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.1258 20.1283 80.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.1258 20.1283 80.0000 0 0.0000 0.0000 0 11 DELTA 0 0.1233 11.1000 93.0000 0 0.0000 0.0000 0 12 DELTA 0 0.1241 11.1750 93.0000 0 0.0000 0.0000 0 13 DELTA 0 0.1250 11.2500 93.0000 0 0.0000 0.0000 0 14 DELTA 0 0.1233 11.1000 93.0000 0 0.0000 0.0000 0 15 DELTA 0 0.1266 11.4000 93.0000 0 0.0000 0.0000 0 16 DELTA 0 0.1250 11.2500 93.0000 0 0.0000 0.0000 0 17 DELTA 0 0.1258 11.3250 93.0000 0 0.0000 0.0000 0 18 DELTA 0 0.1233 11.1000 93.0000 0 0.0000 0.0000 0 19 ECHO 0 0.1233 3.7000 86.0000 0 0.0000 0.0000 0 
12013 0 ALPHA 0 0.1483 17.8000 92.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.1599 19.2000 91.0000 0 0.0000 0.0000 0 2 BETA 0 0.1591 15.9103 77.0000 0 0.0000 0.0000 0 3 BETA 0 0.1599 15.9936 76.0000 0 0.0000 0.0000 0 4 BETA 0 0.1599 15.9936 76.0000 0 0.0000 0.0000 0 5 BETA 0 0.1599 15.9936 76.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.1599 25.5936 75.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.1591 25.4603 75.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.1599 25.5936 75.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.1558 24.9271 76.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.1574 25.1937 75.0000 0 0.0000 0.0000 0 11 DELTA 0 0.1491 13.4250 92.0000 0 0.0000 0.0000 0 12 DELTA 0 0.1483 13.3500 92.0000 0 0.0000 0.0000 0 13 DELTA 0 0.1491 13.4250 92.0000 0 0.0000 0.0000 0 14 DELTA 0 0.1483 13.3500 92.0000 0 0.0000 0.0000 0 15 DELTA 0 0.1566 14.1000 91.0000 0 0.0000 0.0000 0 16 DELTA 0 0.1549 13.9500 91.0000 0 0.0000 0.0000 0 17 DELTA 0 0.1558 14.0250 91.0000 0 0.0000 0.0000 0 18 DELTA 0 0.1483 13.3500 92.0000 0 0.0000 0.0000 0 19 ECHO 0 0.1483 4.4500 83.0000 0 0.0000 0.0000 0 
14031 0 ALPHA 0 0.1766 21.2000 90.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.1883 22.6000 89.0000 0 0.0000 0.0000 0 2 BETA 0 0.1874 18.7425 72.0000 0 0.0000 0.0000 0 3 BETA 0 0.1883 18.8258 72.0000 0 0.0000 0.0000 0 4 BETA 0 0.1883 18.8258 72.0000 0 0.0000 0.0000 0 5 BETA 0 0.1883 18.8258 72.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.1883 30.1258 70.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.1874 29.9925 71.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.1883 30.1258 70.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.1833 29.3260 71.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.1849 29.5926 71.0000 0 0.0000 0.0000 0 11 DELTA 0 0.1774 15.9750 90.0000 0 0.0000 0.0000 0 12 DELTA 0 0.1766 15.9000 90.0000 0 0.0000 0.0000 0 13 DELTA 0 0.1783 16.0500 90.0000 0 0.0000 0.0000 0 14 DELTA 0 0.1766 15.9000 90.0000 0 0.0000 0.0000 0 15 DELTA 0 0.1849 16.6500 89.0000 0 0.0000 0.0000 0 16 DELTA 0 0.1833 16.5000 89.0000 0 0.0000 0.0000 0 17 DELTA 0 0.1833 16.5000 89.0000 0 0.0000 0.0000 0 18 DELTA 0 0.1758 15.8250 90.0000 0 0.0000 0.0000 0 19 ECHO 0 0.1766 5.3000 80.0000 0 0.0000 0.0000 0 
16031 0 ALPHA 0 0.2091 25.1000 88.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.2216 26.6000 87.0000 0 0.0000 0.0000 0 2 BETA 0 0.2207 22.0745 67.0000 0 0.0000 0.0000 0 3 BETA 0 0.2216 22.1578 67.0000 0 0.0000 0.0000 0 4 BETA 0 0.2216 22.1578 67.0000 0 0.0000 0.0000 0 5 BETA 0 0.2216 22.1578 67.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.2216 35.4578 65.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.2207 35.3245 65.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.2216 35.4578 65.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.2141 34.2581 66.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.2157 34.5247 66.0000 0 0.0000 0.0000 0 11 DELTA 0 0.2074 18.6750 88.0000 0 0.0000 0.0000 0 12 DELTA 0 0.2099 18.9000 88.0000 0 0.0000 0.0000 0 13 DELTA 0 0.2116 19.0500 88.0000 0 0.0000 0.0000 0 14 DELTA 0 0.2091 18.8250 88.0000 0 0.0000 0.0000 0 15 DELTA 0 0.2174 19.5750 87.0000 0 0.0000 0.0000 0 16 DELTA 0 0.2141 19.2750 88.0000 0 0.0000 0.0000 0 17 DELTA 0 0.2141 19.2750 88.0000 0 0.0000 0.0000 0 18 DELTA 0 0.2083 18.7500 88.0000 0 0.0000 0.0000 0 19 ECHO 0 0.2091 6.2750 76.0000 0 0.0000 0.0000 0 
18031 0 ALPHA 0 0.2416 29.0000 86.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.2541 30.5000 85.0000 0 0.0000 0.0000 0 2 BETA 0 0.2532 25.3232 62.0000 0 0.0000 0.0000 0 3 BETA 0 0.2541 25.4065 62.0000 0 0.0000 0.0000 0 4 BETA 0 0.2541 25.4065 62.0000 0 0.0000 0.0000 0 5 BETA 0 0.2541 25.4065 62.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.2541 40.6565 60.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.2532 40.5232 60.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.2541 40.6565 60.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.2466 39.4568 61.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.2482 39.7234 61.0000 0 0.0000 0.0000 0 11 DELTA 0 0.2407 21.6750 86.0000 0 0.0000 0.0000 0 12 DELTA 0 0.2424 21.8250 86.0000 0 0.0000 0.0000 0 13 DELTA 0 0.2441 21.9750 86.0000 0 0.0000 0.0000 0 14 DELTA 0 0.2424 21.8250 86.0000 0 0.0000 0.0000 0 15 DELTA 0 0.2499 22.5000 85.0000 0 0.0000 0.0000 0 16 DELTA 0 0.2474 22.2750 86.0000 0 0.0000 0.0000 0 17 DELTA 0 0.2466 22.2000 86.0000 0 0.0000 0.0000 0 18 DELTA 0 0.2416 21.7500 86.0000 0 0.0000 0.0000 0 19 ECHO 0 0.2424 7.2750 72.0000 0 0.0000 0.0000 0 
20031 0 ALPHA 0 0.2749 33.0000 84.0000 0 0.0000 0.0000 0 1 ALPHA 0 0.2874 34.5000 83.0000 0 0.0000 0.0000 0 2 BETA 0 0.2866 28.6552 57.0000 0 0.0000 0.0000 0 3 BETA 0 0.2874 28.7385 57.0000 0 0.0000 0.0000 0 4 BETA 0 0.2874 28.7385 57.0000 0 0.0000 0.0000 0 5 BETA 0 0.2874 28.7385 57.0000 0 0.0000 0.0000 0 6 CHARLIE 0 0.2874 45.9885 55.0000 0 0.0000 0.0000 0 7 CHARLIE 0 0.2866 45.8552 55.0000 0 0.0000 0.0000 0 8 CHARLIE 0 0.2874 45.9885 55.0000 0 0.0000 0.0000 0 9 CHARLIE 0 0.2799 44.7888 56.0000 0 0.0000 0.0000 0 10 CHARLIE 0 0.2816 45.0554 55.0000 0 0.0000 0.0000 0 11 DELTA 0 0.2741 24.6750 84.0000 0 0.0000 0.0000 0 12 DELTA 0 0.2757 24.8250 84.0000 0 0.0000 0.0000 0 13 DELTA 0 0.2774 24.9750 84.0000 0 0.0000 0.0000 0 14 DELTA 0 0.2749 24.7500 84.0000 0 0.0000 0.0000 0 15 DELTA 0 0.2832 25.5000 83.0000 0 0.0000 0.0000 0 16 DELTA 0 0.2807 25.2750 84.0000 0 0.0000 0.0000 0 17 DELTA 0 0.2799 25.2000 84.0000 0 0.0000 0.0000 0 18 DELTA 0 0.2741 24.6750 84.0000 0 0.0000 0.0000 0 19 ECHO 0 0.2749 8.2500 69.0000 0 0.0000 0.0000 0 
